date,count
2025-12-31,29
2026-01-01,29
2026-01-02,30
2026-01-03,29
2026-01-04,30
2026-01-05,29
2026-01-06,30
2026-01-07,30
2026-01-08,29
2026-01-09,30
2026-01-10,30
2026-01-11,30
2026-01-12,30
2026-01-13,29
2026-01-14,30
2026-01-15,30
2026-01-16,30
2026-01-17,30
2026-01-18,30
2026-01-19,30
2026-01-20,30
2026-01-21,30
2026-01-22,30
2026-01-23,30
